"","ppntid","trialid","probA","probB","probC","payoffA","payoffB","payoffC","optionchosen","propchosen","isInteresting"
"1","0",3,0.31,0.84,0.32,28,22,22,"A",0,TRUE
"2","0",4,0.1,0.64,0.16,26,12,25,"A",0.05,TRUE
"3","0",6,0.37,0.39,0.18,26,12,26,"A",0.9,TRUE
"4","0",11,0.89,0.53,0.23,10,26,10,"A",0.25,TRUE
"5","0",14,0.91,0.89,0.73,23,26,10,"A",0.25,TRUE
"6","0",18,0.5,0.14,0.18,14,23,17,"A",0.75,TRUE
"7","0",22,0.21,0.73,0.16,23,14,17,"A",0,TRUE
"8","0",25,0.35,0.28,0.3,15,16,17,"A",0.5,TRUE
"9","0",26,0.74,0.97,0.82,29,14,20,"A",0.9,TRUE
"10","0",27,0.8,0.45,0.47,14,20,22,"A",0.5,TRUE
"11","0",30,0.047,0.37,0.74,15,16,14,"A",0,TRUE
"12","0",31,0.84,0.058,0.72,19,30,27,"A",0.2,TRUE
"13","0",37,0.11,0.15,0.63,23,14,12,"A",0,TRUE
"14","0",38,0.12,0.23,0.62,15,28,20,"A",0,TRUE
"15","0",39,0.082,0.3,0.62,18,14,12,"A",0.05,TRUE
"16","0",40,0.022,0.18,0.48,11,27,10,"A",0.05,TRUE
"17","0",44,0.33,0.72,0.63,12,13,21,"A",0,TRUE
"18","1",3,0.31,0.84,0.32,28,22,22,"A",0.1,TRUE
"19","1",4,0.1,0.64,0.16,26,12,25,"A",0,TRUE
"20","1",6,0.37,0.39,0.18,26,12,26,"A",0.5,TRUE
"21","1",11,0.89,0.53,0.23,10,26,10,"A",0.5,TRUE
"22","1",14,0.91,0.89,0.73,23,26,10,"A",0.5,TRUE
"23","1",18,0.5,0.14,0.18,14,23,17,"A",0.45,TRUE
"24","1",22,0.21,0.73,0.16,23,14,17,"A",0.85,TRUE
"25","1",25,0.35,0.28,0.3,15,16,17,"A",0.9,TRUE
"26","1",26,0.74,0.97,0.82,29,14,20,"A",0.2,TRUE
"27","1",27,0.8,0.45,0.47,14,20,22,"A",0.1,TRUE
"28","1",30,0.047,0.37,0.74,15,16,14,"A",0,TRUE
"29","1",31,0.84,0.058,0.72,19,30,27,"A",0.4,TRUE
"30","1",37,0.11,0.15,0.63,23,14,12,"A",0,TRUE
"31","1",38,0.12,0.23,0.62,15,28,20,"A",0,TRUE
"32","1",39,0.082,0.3,0.62,18,14,12,"A",0,TRUE
"33","1",40,0.022,0.18,0.48,11,27,10,"A",0,TRUE
"34","1",44,0.33,0.72,0.63,12,13,21,"A",0,TRUE
"35","0",3,0.31,0.84,0.32,28,22,22,"B",1,TRUE
"36","0",4,0.1,0.64,0.16,26,12,25,"B",0.8,TRUE
"37","0",6,0.37,0.39,0.18,26,12,26,"B",0.1,TRUE
"38","0",11,0.89,0.53,0.23,10,26,10,"B",0.75,TRUE
