"","attributeA_option1","attributeA_option2","attributeB_option1","attributeB_option2","trialid","ppntid","calcsd","Bweight","toleranceA","toleranceB","orderr","value1","value2","oraclechoice","rowname"
"1",0.0632889899425209,0.50846253731288,0.151678480906412,0.772613460430875,1,"0",0.5,0,0.01,0.01,0.1,0.0632889899425209,0.50846253731288,2,1
"2",0.574653880205005,0.359761227853596,0.287433058256283,0.867449963465333,2,"0",0.5,0,0.01,0.01,0.1,0.574653880205005,0.359761227853596,1,2
"3",0.731990643311292,0.824390354566276,0.222105014137924,0.409903506748378,3,"0",0.5,0,0.01,0.01,0.1,0.731990643311292,0.824390354566276,2,3
"4",0.580454285023734,0.788724045734853,0.432618846883997,0.567470340058208,4,"0",0.5,0,0.01,0.01,0.1,0.580454285023734,0.788724045734853,2,4
"5",0.858018747530878,0.989882337395102,0.306772851618007,0.0846853903494775,5,"0",0.5,0,0.01,0.01,0.1,0.858018747530878,0.989882337395102,2,5
"6",0.771090281894431,0.837593707023188,0.220109203597531,0.581652767956257,6,"0",0.5,0,0.01,0.01,0.1,0.771090281894431,0.837593707023188,2,6
"7",0.291193107143044,0.674542973516509,0.597453097812831,0.626002602046356,7,"0",0.5,0,0.01,0.01,0.1,0.291193107143044,0.674542973516509,2,7
"8",0.871110959444195,0.285793887916952,0.660351665923372,0.49306703498587,8,"0",0.5,0,0.01,0.01,0.1,0.871110959444195,0.285793887916952,1,8
"9",0.918712403858081,0.438025304116309,0.431146339280531,0.549645878374577,9,"0",0.5,0,0.01,0.01,0.1,0.918712403858081,0.438025304116309,1,9
"10",0.52018537861295,0.155649170512334,0.758411053102463,0.840032155392691,10,"0",0.5,0,0.01,0.01,0.1,0.52018537861295,0.155649170512334,1,10
"11",0.0491089893039316,0.842767093097791,0.346770218107849,0.645292720291764,11,"0",0.5,0,0.01,0.01,0.1,0.0491089893039316,0.842767093097791,2,11
"12",0.929245427716523,0.37153490097262,0.310107347322628,0.158816802548245,12,"0",0.5,0,0.01,0.01,0.1,0.929245427716523,0.37153490097262,1,12
"13",0.690358716063201,0.196336503373459,0.874793453607708,0.444317303830758,13,"0",0.5,0,0.01,0.01,0.1,0.690358716063201,0.196336503373459,1,13
"14",0.468743341974914,0.573264916660264,0.0775813600048423,0.964978070929646,14,"0",0.5,0,0.01,0.01,0.1,0.468743341974914,0.573264916660264,2,14
"15",0.294473036425188,0.707915355917066,0.950765677029267,0.709400563733652,15,"0",0.5,0,0.01,0.01,0.1,0.294473036425188,0.707915355917066,2,15
"16",0.931180013576522,0.466204456752166,0.363871027017012,0.271323193330318,16,"0",0.5,0,0.01,0.01,0.1,0.931180013576522,0.466204456752166,1,16
"17",0.496748462552205,0.346385558601469,0.0126684671267867,0.950740278000012,17,"0",0.5,0,0.01,0.01,0.1,0.496748462552205,0.346385558601469,1,17
"18",0.822567054769024,0.997564839432016,0.351599978515878,0.857830983120948,18,"0",0.5,0,0.01,0.01,0.1,0.822567054769024,0.997564839432016,2,18
"19",0.961919978959486,0.502241655718535,0.565064565744251,0.444028503028676,19,"0",0.5,0,0.01,0.01,0.1,0.961919978959486,0.502241655718535,1,19
"20",0.276066510705277,0.411282445071265,0.04257359681651,0.947230114135891,20,"0",0.5,0,0.01,0.01,0.1,0.276066510705277,0.411282445071265,2,20
"21",0.660032010404393,0.176235389197245,0.968932195799425,0.232152550946921,21,"0",0.5,0,0.01,0.01,0.1,0.660032010404393,0.176235389197245,1,21
