"attributeA_option1","attributeA_option2","attributeA_option3","attributeB_option1","attributeB_option2","attributeB_option3","ppntid","Aweight","Bweight","toleranceA","toleranceB","calcsd","orderr","value1","value2","value3","choice","oraclechoice"
2.99521402921528,9.96997262816876,1.1419490724802,5.3532398911193,4.35072800144553,4.31415455415845,0,1,2.92900152504444,3,3,3,0.1,18.6748618342324,22.7132615794563,13.7781143408877,3,2
2.99521402921528,9.96997262816876,1.1419490724802,5.3532398911193,4.35072800144553,4.31415455415845,1,1,0.0447289785370231,3,3,3,0.1,3.23465898140869,10.1645762475658,1.33491679893856,2,2
2.99521402921528,9.96997262816876,1.1419490724802,5.3532398911193,4.35072800144553,4.31415455415845,2,1,1.46869805990718,3,3,3,0.1,10.8575070715199,16.3598784030757,7.47813949631245,2,2
2.99521402921528,9.96997262816876,1.1419490724802,5.3532398911193,4.35072800144553,4.31415455415845,3,1,1.38687478960492,3,3,3,0.1,10.419487476916,16.0038876098018,7.1251412621018,2,2
2.99521402921528,9.96997262816876,1.1419490724802,5.3532398911193,4.35072800144553,4.31415455415845,4,1,4.06787107465789,3,3,3,0.1,24.7715037380042,27.6681732189532,18.691373594945,2,2
2.99521402921528,9.96997262816876,1.1419490724802,5.3532398911193,4.35072800144553,4.31415455415845,5,1,1.30213885684498,3,3,3,0.1,9.96587570145429,15.6352246144145,6.75957735188463,2,2
2.99521402921528,9.96997262816876,1.1419490724802,5.3532398911193,4.35072800144553,4.31415455415845,6,1,3.62202946329489,3,3,3,0.1,22.3848066389349,25.7284376361866,16.7679439768499,2,2
2.99521402921528,9.96997262816876,1.1419490724802,5.3532398911193,4.35072800144553,4.31415455415845,7,1,4.53046075650491,3,3,3,0.1,27.2478572760879,29.6807751009448,20.687056977592,1,2
2.99521402921528,9.96997262816876,1.1419490724802,5.3532398911193,4.35072800144553,4.31415455415845,8,1,4.74520110525191,3,3,3,0.1,28.3974138772332,30.6150519492785,21.6134800311004,3,2
2.99521402921528,9.96997262816876,1.1419490724802,5.3532398911193,4.35072800144553,4.31415455415845,9,1,0.365722347050905,3,3,3,0.1,4.95301348652196,11.5611310842375,2.71973180156738,2,2
2.99521402921528,9.96997262816876,1.1419490724802,5.3532398911193,4.35072800144553,4.31415455415845,10,1,3.77337513491511,3,3,3,0.1,23.1949963256005,26.3869014876023,17.4208725953225,2,2
2.99521402921528,9.96997262816876,1.1419490724802,5.3532398911193,4.35072800144553,4.31415455415845,11,1,1.43000310403295,3,3,3,0.1,10.6503636901489,16.1915271750389,7.31120347620467,2,2
2.99521402921528,9.96997262816876,1.1419490724802,5.3532398911193,4.35072800144553,4.31415455415845,12,1,0.500267607858405,3,3,3,0.1,5.67326654383771,12.1465009178945,3.30018085122049,2,2
2.99521402921528,9.96997262816876,1.1419490724802,5.3532398911193,4.35072800144553,4.31415455415845,13,1,4.77034387527965,3,3,3,0.1,28.5320091567189,30.7244413028721,21.7219498269198,2,2
2.99521402921528,9.96997262816876,1.1419490724802,5.3532398911193,4.35072800144553,4.31415455415845,14,1,2.07803559256718,3,3,3,0.1,14.1194370585116,19.0109402687512,10.1069157878572,2,2
2.99521402921528,9.96997262816876,1.1419490724802,5.3532398911193,4.35072800144553,4.31415455415845,15,1,2.27551208809018,3,3,3,0.1,15.1765761119038,19.8701067874505,10.9588599103571,2,2
2.99521402921528,9.96997262816876,1.1419490724802,5.3532398911193,4.35072800144553,4.31415455415845,16,1,4.85527827986516,3,3,3,0.1,28.9866833994746,31.0939677951884,22.0883699752671,2,2
2.99521402921528,9.96997262816876,1.1419490724802,5.3532398911193,4.35072800144553,4.31415455415845,17,1,2.91993989842013,3,3,3,0.1,18.6263527731087,22.6738369067632,13.7390210831183,1,2
2.99521402921528,9.96997262816876,1.1419490724802,5.3532398911193,4.35072800144553,4.31415455415845,18,1,4.81102312216535,3,3,3,0.1,28.7497749238882,30.9014256413755,21.8974463851315,1,2
2.99521402921528,9.96997262816876,1.1419490724802,5.3532398911193,4.35072800144553,4.31415455415845,19,1,3.8085120159667,3,3,3,0.1,23.3830924788954,26.5397724998769,17.5724585307301,3,2
2.99521402921528,9.96997262816876,1.1419490724802,5.3532398911193,4.35072800144553,4.31415455415845,20,1,3.57254267670214,3,3,3,0.1,22.1198919988633,25.5131340880559,16.5544503311002,2,2
2.99521402921528,9.96997262816876,1.1419490724802,5.3532398911193,4.35072800144553,4.31415455415845,21,1,4.98306428431533,3,3,3,0.1,29.670752536024,31.6499299429426,22.6396585483235,2,2
2.99521402921528,9.96997262816876,1.1419490724802,5.3532398911193,4.35072800144553,4.31415455415845,22,1,2.53135447157547,3,3,3,0.1,16.5461617650163,20.9832074092365,12.0626034942169,2,2
2.99521402921528,9.96997262816876,1.1419490724802,5.3532398911193,4.35072800144553,4.31415455415845,23,1,2.44971619104035,3,3,3,0.1,16.1091324650133,20.6280214561225,11.7104033344526,1,2
2.99521402921528,9.96997262816876,1.1419490724802,5.3532398911193,4.35072800144553,4.31415455415845,24,1,3.24580684304237,3,3,3,0.1,20.3707967002577,24.0915953474767,15.1448614463101,2,2
2.99521402921528,9.96997262816876,1.1419490724802,5.3532398911193,4.35072800144553,4.31415455415845,25,1,4.15403206134215,3,3,3,0.1,25.2327441689806,28.0430362363526,19.0630854080396,1,2
2.99521402921528,9.96997262816876,1.1419490724802,5.3532398911193,4.35072800144553,4.31415455415845,26,1,2.4099950119853,3,3,3,0.1,15.8964954647735,20.4552054101573,11.5390400289357,1,2
