"","ppntid","trialid","probA","probB","probC","payoffA","payoffB","payoffC","optionchosen","propchosen","isInteresting"
"1","0",1,0.2,0.43,0.16,27,20,16,"A",0.1,TRUE
"2","0",5,0.61,0.44,0.13,21,25,13,"A",0.85,TRUE
"3","0",8,0.26,0.24,0.8,28,24,10,"A",0.45,TRUE
"4","0",10,0.87,0.22,0.8,10,18,17,"A",0.1,TRUE
"5","0",11,0.49,0.8,0.88,19,18,17,"A",0.05,TRUE
"6","0",12,0.033,0.12,0.85,25,14,11,"A",0,TRUE
"7","0",13,0.4,0.85,0.38,29,18,11,"A",0,TRUE
"8","0",15,0.2,0.43,0.17,13,14,28,"A",0.1,TRUE
"9","0",16,0.94,0.65,0.77,14,10,30,"A",0.05,TRUE
"10","0",18,0.25,0.88,0.32,18,14,26,"A",0,TRUE
"11","0",21,0.056,0.12,0.25,23,27,14,"A",0.05,TRUE
"12","0",23,0.012,0.12,0.32,25,20,15,"A",0,TRUE
"13","0",24,0.2,0.12,0.98,25,24,12,"A",0.1,TRUE
"14","0",27,0.29,0.29,0.65,19,12,12,"A",0.3,TRUE
"15","0",28,0.17,0.19,0.67,20,22,10,"A",0,TRUE
"16","0",29,0.052,0.37,0.94,30,16,14,"A",0,TRUE
"17","0",30,0.31,0.04,0.86,30,20,15,"A",0.15,TRUE
"18","0",31,0.49,0.76,0.52,30,26,30,"A",0.05,TRUE
"19","0",32,0.91,0.76,0.098,23,29,12,"A",0.35,TRUE
"20","0",33,0.62,0.87,0.64,13,19,30,"A",0,TRUE
"21","0",34,0.15,0.89,0.6,13,24,26,"A",0,TRUE
"22","0",35,0.15,0.87,0.79,13,16,30,"A",0,TRUE
"23","0",37,0.35,0.51,0.035,16,10,13,"A",0.7,TRUE
"24","0",39,0.17,0.93,0.031,15,12,19,"A",0,TRUE
"25","0",40,0.16,0.51,0.067,18,12,26,"A",0.15,TRUE
"26","0",41,0.063,0.69,0.45,23,10,13,"A",0.05,TRUE
"27","0",42,0.35,0.55,0.45,24,10,12,"A",0.4,TRUE
"28","0",46,0.93,0.17,0.59,26,21,29,"A",0.9,TRUE
"29","0",47,0.93,0.17,0.92,17,11,29,"A",0,TRUE
"30","0",49,0.57,0.56,0.52,18,12,29,"A",0.1,TRUE
"31","1",1,0.2,0.43,0.16,27,20,16,"A",0.35,TRUE
"32","1",5,0.61,0.44,0.13,21,25,13,"A",0.5,TRUE
"33","1",8,0.26,0.24,0.8,28,24,10,"A",0.9,TRUE
"34","1",10,0.87,0.22,0.8,10,18,17,"A",0.25,TRUE
"35","1",11,0.49,0.8,0.88,19,18,17,"A",0.1,TRUE
"36","1",12,0.033,0.12,0.85,25,14,11,"A",0.2,TRUE
"37","1",13,0.4,0.85,0.38,29,18,11,"A",0.3,TRUE
"38","1",15,0.2,0.43,0.17,13,14,28,"A",0.05,TRUE
"39","1",16,0.94,0.65,0.77,14,10,30,"A",0.3,TRUE
"40","1",18,0.25,0.88,0.32,18,14,26,"A",0,TRUE
"41","1",21,0.056,0.12,0.25,23,27,14,"A",0,TRUE
"42","1",23,0.012,0.12,0.32,25,20,15,"A",0.15,TRUE
"43","1",24,0.2,0.12,0.98,25,24,12,"A",0.55,TRUE
"44","1",27,0.29,0.29,0.65,19,12,12,"A",0.05,TRUE
"45","1",28,0.17,0.19,0.67,20,22,10,"A",0,TRUE
"46","1",29,0.052,0.37,0.94,30,16,14,"A",0.1,TRUE
"47","1",30,0.31,0.04,0.86,30,20,15,"A",0.65,TRUE
"48","1",31,0.49,0.76,0.52,30,26,30,"A",0.05,TRUE
"49","1",32,0.91,0.76,0.098,23,29,12,"A",0.65,TRUE
"50","1",33,0.62,0.87,0.64,13,19,30,"A",0,TRUE
"51","1",34,0.15,0.89,0.6,13,24,26,"A",0,TRUE
"52","1",35,0.15,0.87,0.79,13,16,30,"A",0,TRUE
"53","1",37,0.35,0.51,0.035,16,10,13,"A",1,TRUE
"54","1",39,0.17,0.93,0.031,15,12,19,"A",0.25,TRUE
"55","1",40,0.16,0.51,0.067,18,12,26,"A",0.6,TRUE
"56","1",41,0.063,0.69,0.45,23,10,13,"A",0,TRUE
"57","1",42,0.35,0.55,0.45,24,10,12,"A",0.2,TRUE
"58","1",46,0.93,0.17,0.59,26,21,29,"A",0.45,TRUE
"59","1",47,0.93,0.17,0.92,17,11,29,"A",0.3,TRUE
"60","1",49,0.57,0.56,0.52,18,12,29,"A",0.75,TRUE
"61","0",1,0.2,0.43,0.16,27,20,16,"B",0.9,TRUE
"62","0",5,0.61,0.44,0.13,21,25,13,"B",0.15,TRUE
"63","0",8,0.26,0.24,0.8,28,24,10,"B",0.1,TRUE
"64","0",10,0.87,0.22,0.8,10,18,17,"B",0,TRUE
"65","0",11,0.49,0.8,0.88,19,18,17,"B",0.45,TRUE
"66","0",12,0.033,0.12,0.85,25,14,11,"B",0.05,TRUE
"67","0",13,0.4,0.85,0.38,29,18,11,"B",1,TRUE
"68","0",15,0.2,0.43,0.17,13,14,28,"B",0.6,TRUE
"69","0",16,0.94,0.65,0.77,14,10,30,"B",0,TRUE
"70","0",18,0.25,0.88,0.32,18,14,26,"B",0.9,TRUE
"71","0",21,0.056,0.12,0.25,23,27,14,"B",0.45,TRUE
"72","0",23,0.012,0.12,0.32,25,20,15,"B",0.2,TRUE
"73","0",24,0.2,0.12,0.98,25,24,12,"B",0,TRUE
"74","0",27,0.29,0.29,0.65,19,12,12,"B",0,TRUE
"75","0",28,0.17,0.19,0.67,20,22,10,"B",0.55,TRUE
"76","0",29,0.052,0.37,0.94,30,16,14,"B",0.05,TRUE
"77","0",30,0.31,0.04,0.86,30,20,15,"B",0,TRUE
"78","0",31,0.49,0.76,0.52,30,26,30,"B",0.7,TRUE
"79","0",32,0.91,0.76,0.098,23,29,12,"B",0.65,TRUE
"80","0",33,0.62,0.87,0.64,13,19,30,"B",0.25,TRUE
"81","0",34,0.15,0.89,0.6,13,24,26,"B",1,TRUE
"82","0",35,0.15,0.87,0.79,13,16,30,"B",0.05,TRUE
"83","0",37,0.35,0.51,0.035,16,10,13,"B",0.2,TRUE
"84","0",39,0.17,0.93,0.031,15,12,19,"B",1,TRUE
"85","0",40,0.16,0.51,0.067,18,12,26,"B",0.8,TRUE
"86","0",41,0.063,0.69,0.45,23,10,13,"B",0.7,TRUE
"87","0",42,0.35,0.55,0.45,24,10,12,"B",0.4,TRUE
"88","0",46,0.93,0.17,0.59,26,21,29,"B",0,TRUE
"89","0",47,0.93,0.17,0.92,17,11,29,"B",0,TRUE
"90","0",49,0.57,0.56,0.52,18,12,29,"B",0,TRUE
"91","1",1,0.2,0.43,0.16,27,20,16,"B",0.65,TRUE
"92","1",5,0.61,0.44,0.13,21,25,13,"B",0.5,TRUE
"93","1",8,0.26,0.24,0.8,28,24,10,"B",0,TRUE
"94","1",10,0.87,0.22,0.8,10,18,17,"B",0.1,TRUE
"95","1",11,0.49,0.8,0.88,19,18,17,"B",0.2,TRUE
"96","1",12,0.033,0.12,0.85,25,14,11,"B",0.2,TRUE
"97","1",13,0.4,0.85,0.38,29,18,11,"B",0.7,TRUE
"98","1",15,0.2,0.43,0.17,13,14,28,"B",0.95,TRUE
"99","1",16,0.94,0.65,0.77,14,10,30,"B",0,TRUE
"100","1",18,0.25,0.88,0.32,18,14,26,"B",0.2,TRUE
"101","1",21,0.056,0.12,0.25,23,27,14,"B",0.9,TRUE
"102","1",23,0.012,0.12,0.32,25,20,15,"B",0.35,TRUE
"103","1",24,0.2,0.12,0.98,25,24,12,"B",0,TRUE
"104","1",27,0.29,0.29,0.65,19,12,12,"B",0,TRUE
"105","1",28,0.17,0.19,0.67,20,22,10,"B",0.95,TRUE
"106","1",29,0.052,0.37,0.94,30,16,14,"B",0.35,TRUE
"107","1",30,0.31,0.04,0.86,30,20,15,"B",0,TRUE
"108","1",31,0.49,0.76,0.52,30,26,30,"B",0.35,TRUE
"109","1",32,0.91,0.76,0.098,23,29,12,"B",0.35,TRUE
"110","1",33,0.62,0.87,0.64,13,19,30,"B",0.5,TRUE
"111","1",34,0.15,0.89,0.6,13,24,26,"B",0.7,TRUE
"112","1",35,0.15,0.87,0.79,13,16,30,"B",0.3,TRUE
"113","1",37,0.35,0.51,0.035,16,10,13,"B",0,TRUE
"114","1",39,0.17,0.93,0.031,15,12,19,"B",0.7,TRUE
"115","1",40,0.16,0.51,0.067,18,12,26,"B",0.4,TRUE
"116","1",41,0.063,0.69,0.45,23,10,13,"B",0.35,TRUE
"117","1",42,0.35,0.55,0.45,24,10,12,"B",0.25,TRUE
"118","1",46,0.93,0.17,0.59,26,21,29,"B",0,TRUE
"119","1",47,0.93,0.17,0.92,17,11,29,"B",0,TRUE
"120","1",49,0.57,0.56,0.52,18,12,29,"B",0.05,TRUE
"121","0",1,0.2,0.43,0.16,27,20,16,"C",0,TRUE
"122","0",5,0.61,0.44,0.13,21,25,13,"C",0,TRUE
"123","0",8,0.26,0.24,0.8,28,24,10,"C",0.45,TRUE
"124","0",10,0.87,0.22,0.8,10,18,17,"C",0.9,TRUE
"125","0",11,0.49,0.8,0.88,19,18,17,"C",0.5,TRUE
"126","0",12,0.033,0.12,0.85,25,14,11,"C",0.95,TRUE
"127","0",13,0.4,0.85,0.38,29,18,11,"C",0,TRUE
"128","0",15,0.2,0.43,0.17,13,14,28,"C",0.3,TRUE
"129","0",16,0.94,0.65,0.77,14,10,30,"C",0.95,TRUE
"130","0",18,0.25,0.88,0.32,18,14,26,"C",0.1,TRUE
"131","0",21,0.056,0.12,0.25,23,27,14,"C",0.5,TRUE
"132","0",23,0.012,0.12,0.32,25,20,15,"C",0.8,TRUE
"133","0",24,0.2,0.12,0.98,25,24,12,"C",0.9,TRUE
"134","0",27,0.29,0.29,0.65,19,12,12,"C",0.7,TRUE
"135","0",28,0.17,0.19,0.67,20,22,10,"C",0.45,TRUE
"136","0",29,0.052,0.37,0.94,30,16,14,"C",0.95,TRUE
"137","0",30,0.31,0.04,0.86,30,20,15,"C",0.85,TRUE
"138","0",31,0.49,0.76,0.52,30,26,30,"C",0.25,TRUE
"139","0",32,0.91,0.76,0.098,23,29,12,"C",0,TRUE
"140","0",33,0.62,0.87,0.64,13,19,30,"C",0.75,TRUE
"141","0",34,0.15,0.89,0.6,13,24,26,"C",0,TRUE
"142","0",35,0.15,0.87,0.79,13,16,30,"C",0.95,TRUE
"143","0",37,0.35,0.51,0.035,16,10,13,"C",0.1,TRUE
"144","0",39,0.17,0.93,0.031,15,12,19,"C",0,TRUE
"145","0",40,0.16,0.51,0.067,18,12,26,"C",0.05,TRUE
"146","0",41,0.063,0.69,0.45,23,10,13,"C",0.25,TRUE
"147","0",42,0.35,0.55,0.45,24,10,12,"C",0.2,TRUE
"148","0",46,0.93,0.17,0.59,26,21,29,"C",0.1,TRUE
"149","0",47,0.93,0.17,0.92,17,11,29,"C",1,TRUE
"150","0",49,0.57,0.56,0.52,18,12,29,"C",0.9,TRUE
"151","1",1,0.2,0.43,0.16,27,20,16,"C",0,TRUE
"152","1",5,0.61,0.44,0.13,21,25,13,"C",0,TRUE
"153","1",8,0.26,0.24,0.8,28,24,10,"C",0.1,TRUE
"154","1",10,0.87,0.22,0.8,10,18,17,"C",0.65,TRUE
"155","1",11,0.49,0.8,0.88,19,18,17,"C",0.7,TRUE
"156","1",12,0.033,0.12,0.85,25,14,11,"C",0.6,TRUE
"157","1",13,0.4,0.85,0.38,29,18,11,"C",0,TRUE
"158","1",15,0.2,0.43,0.17,13,14,28,"C",0,TRUE
"159","1",16,0.94,0.65,0.77,14,10,30,"C",0.7,TRUE
"160","1",18,0.25,0.88,0.32,18,14,26,"C",0.8,TRUE
"161","1",21,0.056,0.12,0.25,23,27,14,"C",0.1,TRUE
"162","1",23,0.012,0.12,0.32,25,20,15,"C",0.5,TRUE
"163","1",24,0.2,0.12,0.98,25,24,12,"C",0.45,TRUE
"164","1",27,0.29,0.29,0.65,19,12,12,"C",0.95,TRUE
"165","1",28,0.17,0.19,0.67,20,22,10,"C",0.05,TRUE
"166","1",29,0.052,0.37,0.94,30,16,14,"C",0.55,TRUE
"167","1",30,0.31,0.04,0.86,30,20,15,"C",0.35,TRUE
"168","1",31,0.49,0.76,0.52,30,26,30,"C",0.6,TRUE
"169","1",32,0.91,0.76,0.098,23,29,12,"C",0,TRUE
"170","1",33,0.62,0.87,0.64,13,19,30,"C",0.5,TRUE
"171","1",34,0.15,0.89,0.6,13,24,26,"C",0.3,TRUE
"172","1",35,0.15,0.87,0.79,13,16,30,"C",0.7,TRUE
"173","1",37,0.35,0.51,0.035,16,10,13,"C",0,TRUE
"174","1",39,0.17,0.93,0.031,15,12,19,"C",0.05,TRUE
"175","1",40,0.16,0.51,0.067,18,12,26,"C",0,TRUE
"176","1",41,0.063,0.69,0.45,23,10,13,"C",0.65,TRUE
"177","1",42,0.35,0.55,0.45,24,10,12,"C",0.55,TRUE
"178","1",46,0.93,0.17,0.59,26,21,29,"C",0.55,TRUE
"179","1",47,0.93,0.17,0.92,17,11,29,"C",0.7,TRUE
