"","ppntid","trialid","probA","probB","probC","payoffA","payoffB","payoffC","optionchosen","propchosen","isInteresting"
"1","0",3,0.94,0.16,0.14,14,18,19,"A",1,TRUE
"2","0",4,0.17,0.36,0.56,23,30,25,"A",0,TRUE
"3","0",5,0.45,0.53,0.91,27,26,21,"A",0.05,TRUE
"4","0",7,0.88,0.83,0.84,12,28,10,"A",0,TRUE
"5","0",8,0.69,0.19,0.65,14,28,23,"A",0.05,TRUE
"6","0",9,0.67,0.44,0.71,23,24,11,"A",0.95,TRUE
"7","0",11,0.034,0.67,0.045,21,20,23,"A",0,TRUE
"8","0",13,0.84,0.64,0.89,24,13,17,"A",0.8,TRUE
"9","0",14,0.55,0.26,0.24,13,18,30,"A",0.5,TRUE
"10","0",15,0.096,0.68,0.91,13,25,16,"A",0,TRUE
"11","0",18,0.89,0.69,0.71,23,10,29,"A",0.3,TRUE
"12","0",23,0.14,0.5,0.093,22,10,16,"A",0.45,TRUE
"13","0",25,0.72,0.99,0.048,23,11,28,"A",1,TRUE
"14","0",26,0.24,0.78,0.02,20,11,29,"A",0.15,TRUE
"15","0",30,0.23,0.89,0.02,16,12,21,"A",0.05,TRUE
"16","0",31,0.94,0.99,0.71,13,13,25,"A",0,TRUE
"17","0",33,0.34,0.56,0.65,14,27,16,"A",0,TRUE
"18","0",34,0.27,0.56,0.65,14,25,17,"A",0,TRUE
"19","0",35,0.79,0.18,0.65,14,18,16,"A",0.55,TRUE
"20","0",36,0.0096,0.46,0.88,25,26,19,"A",0,TRUE
"21","0",38,0.034,0.86,0.71,21,20,28,"A",0,TRUE
"22","0",42,0.5,0.14,0.91,21,23,17,"A",0.2,TRUE
"23","0",43,0.33,0.2,0.91,21,25,13,"A",0.2,TRUE
"24","0",47,0.3,0.76,0.93,20,28,22,"A",0,TRUE
"25","0",48,0.98,0.76,0.67,20,21,22,"A",0.8,TRUE
"26","0",50,0.77,0.76,0.88,20,28,12,"A",0.1,TRUE
"27","1",3,0.94,0.16,0.14,14,18,19,"A",0.65,TRUE
"28","1",4,0.17,0.36,0.56,23,30,25,"A",0.05,TRUE
"29","1",5,0.45,0.53,0.91,27,26,21,"A",0,TRUE
"30","1",7,0.88,0.83,0.84,12,28,10,"A",0.8,TRUE
"31","1",8,0.69,0.19,0.65,14,28,23,"A",0.35,TRUE
"32","1",9,0.67,0.44,0.71,23,24,11,"A",0.6,TRUE
"33","1",11,0.034,0.67,0.045,21,20,23,"A",0,TRUE
"34","1",13,0.84,0.64,0.89,24,13,17,"A",0.5,TRUE
"35","1",14,0.55,0.26,0.24,13,18,30,"A",0.35,TRUE
"36","1",15,0.096,0.68,0.91,13,25,16,"A",0,TRUE
"37","1",18,0.89,0.69,0.71,23,10,29,"A",0.55,TRUE
"38","1",23,0.14,0.5,0.093,22,10,16,"A",0.75,TRUE
"39","1",25,0.72,0.99,0.048,23,11,28,"A",0.5,TRUE
"40","1",26,0.24,0.78,0.02,20,11,29,"A",0.5,TRUE
"41","1",30,0.23,0.89,0.02,16,12,21,"A",0.45,TRUE
"42","1",31,0.94,0.99,0.71,13,13,25,"A",0.05,TRUE
"43","1",33,0.34,0.56,0.65,14,27,16,"A",0,TRUE
"44","1",34,0.27,0.56,0.65,14,25,17,"A",0,TRUE
"45","1",35,0.79,0.18,0.65,14,18,16,"A",0.2,TRUE
"46","1",36,0.0096,0.46,0.88,25,26,19,"A",0.05,TRUE
"47","1",38,0.034,0.86,0.71,21,20,28,"A",0,TRUE
"48","1",42,0.5,0.14,0.91,21,23,17,"A",0.45,TRUE
"49","1",43,0.33,0.2,0.91,21,25,13,"A",0.4,TRUE
"50","1",47,0.3,0.76,0.93,20,28,22,"A",0,TRUE
"51","1",48,0.98,0.76,0.67,20,21,22,"A",0.4,TRUE
"52","1",50,0.77,0.76,0.88,20,28,12,"A",0.5,TRUE
"53","0",3,0.94,0.16,0.14,14,18,19,"B",0,TRUE
"54","0",4,0.17,0.36,0.56,23,30,25,"B",0.1,TRUE
"55","0",5,0.45,0.53,0.91,27,26,21,"B",0.15,TRUE
"56","0",7,0.88,0.83,0.84,12,28,10,"B",1,TRUE
"57","0",8,0.69,0.19,0.65,14,28,23,"B",0,TRUE
"58","0",9,0.67,0.44,0.71,23,24,11,"B",0.05,TRUE
"59","0",11,0.034,0.67,0.045,21,20,23,"B",0.9,TRUE
