"","attributeA_option1","attributeA_option2","attributeA_option3","attributeB_option1","attributeB_option2","attributeB_option3","trialid","ppntid","calcsd","Bweight","toleranceA","toleranceB","orderr","value1","value2","value3","oraclechoice"
"1",0.520503330277279,0.240410662256181,0.74308350100182,0.816263533895835,0.449718727031723,0.0505350413732231,1,"0",0.5,0,0.01,0.01,0.1,0.520503330277279,0.240410662256181,0.74308350100182,3
"2",0.249430487630889,0.770190618000925,0.425618872977793,0.429773596348241,0.790555903920904,0.33320004097186,2,"0",0.5,0,0.01,0.01,0.1,0.249430487630889,0.770190618000925,0.425618872977793,2
"3",0.121732102241367,0.133088327245787,0.123702133307233,0.471276258584112,0.442809992469847,0.205060207983479,3,"0",0.5,0,0.01,0.01,0.1,0.121732102241367,0.133088327245787,0.123702133307233,2
"4",0.0871702469885349,0.973476615734398,0.517208472825587,0.0990938143804669,0.559639860177413,0.419007840799168,4,"0",0.5,0,0.01,0.01,0.1,0.0871702469885349,0.973476615734398,0.517208472825587,2
"5",0.978522371035069,0.0861311904154718,0.919209298910573,0.848306050524116,0.750552129698917,0.986989078111947,5,"0",0.5,0,0.01,0.01,0.1,0.978522371035069,0.0861311904154718,0.919209298910573,1
"6",0.718621629057452,0.486122445901856,0.221015657298267,0.0519038930069655,0.130000517005101,0.796979492297396,6,"0",0.5,0,0.01,0.01,0.1,0.718621629057452,0.486122445901856,0.221015657298267,1
"7",0.136188122909516,0.800692882854491,0.58507133834064,0.33342383033596,0.171831000596285,0.260689883725718,7,"0",0.5,0,0.01,0.01,0.1,0.136188122909516,0.800692882854491,0.58507133834064,2
"8",0.866794371278957,0.168266682885587,0.75387312984094,0.460358194541186,0.510278888978064,0.537914788816124,8,"0",0.5,0,0.01,0.01,0.1,0.866794371278957,0.168266682885587,0.75387312984094,1
"9",0.796827322803438,0.071528556291014,0.265722221462056,0.494119194103405,0.882246588123962,0.122406532522291,9,"0",0.5,0,0.01,0.01,0.1,0.796827322803438,0.071528556291014,0.265722221462056,1
"10",0.375672626774758,0.169856176013127,0.0857133166864514,0.850521109765396,0.694833280751482,0.82076426781714,10,"0",0.5,0,0.01,0.01,0.1,0.375672626774758,0.169856176013127,0.0857133166864514,1
"11",0.102630025241524,0.545389478793368,0.183402953436598,0.776330311782658,0.532129669794813,0.157379799289629,11,"0",0.5,0,0.01,0.01,0.1,0.102630025241524,0.545389478793368,0.183402953436598,2
"12",0.58363217744045,0.872611092869192,0.246253575896844,0.455615837592632,0.199606398819014,0.734260490164161,12,"0",0.5,0,0.01,0.01,0.1,0.58363217744045,0.872611092869192,0.246253575896844,2
"13",0.663771544815972,0.903046443825588,0.890830248594284,0.52378149330616,0.550719463964924,0.220786575460806,13,"0",0.5,0,0.01,0.01,0.1,0.663771544815972,0.903046443825588,0.890830248594284,2
"14",0.863081939984113,0.789619148010388,0.201546445256099,0.7139824826736,0.291606942424551,0.597663750406355,14,"0",0.5,0,0.01,0.01,0.1,0.863081939984113,0.789619148010388,0.201546445256099,1
"15",0.844853629125282,0.770337905734777,0.045675661182031,0.460076438030228,0.798448343761265,0.177405159920454,15,"0",0.5,0,0.01,0.01,0.1,0.844853629125282,0.770337905734777,0.045675661182031,1
