"","ppntid","trialid","probA","probB","probC","payoffA","payoffB","payoffC","optionchosen","propchosen","isInteresting"
"1","0",2,0.13,0.23,0.84,30,20,17,"A",0,TRUE
"2","0",6,0.78,0.8,0.83,26,23,12,"A",0.6,TRUE
"3","0",8,0.56,0.44,0.9,19,28,16,"A",0.25,TRUE
"4","0",11,0.025,0.36,0.86,27,18,12,"A",0,TRUE
"5","0",12,0.063,0.5,0.86,29,29,20,"A",0,TRUE
"6","0",16,0.019,0.35,0.36,26,29,27,"A",0,TRUE
"7","0",18,0.51,0.029,0.68,16,14,11,"A",0.65,TRUE
"8","0",20,0.38,0.55,0.67,19,22,11,"A",0.05,TRUE
"9","0",23,0.68,0.27,0.14,14,22,21,"A",0.7,TRUE
"10","0",28,0.44,0.86,0.6,28,13,14,"A",0.55,TRUE
"11","0",29,0.23,0.43,0.36,26,14,20,"A",0.25,TRUE
"12","0",30,0.42,0.18,0.7,20,23,13,"A",0.25,TRUE
"13","0",31,0.28,0.39,0.81,20,23,14,"A",0,TRUE
"14","0",33,0.72,0.33,0.014,11,20,24,"A",0.6,TRUE
"15","0",34,0.13,0.37,0.6,29,24,22,"A",0,TRUE
"16","0",35,0.9,0.45,0.59,10,23,12,"A",0.15,TRUE
"17","0",37,0.13,0.23,0.66,14,23,12,"A",0,TRUE
"18","0",38,0.2,0.16,0.48,20,27,14,"A",0.15,TRUE
"19","0",39,0.44,0.23,0.15,13,20,17,"A",0.55,TRUE
"20","0",40,0.87,0.24,0.2,12,22,15,"A",0.6,TRUE
"21","0",42,0.26,0.041,1,24,28,11,"A",0.1,TRUE
"22","0",44,0.98,0.79,0.59,15,26,11,"A",0.2,TRUE
"23","0",47,0.2,0.12,0.99,27,27,16,"A",0,TRUE
"24","1",2,0.13,0.23,0.84,30,20,17,"A",0,TRUE
"25","1",6,0.78,0.8,0.83,26,23,12,"A",0.35,TRUE
"26","1",8,0.56,0.44,0.9,19,28,16,"A",0.5,TRUE
"27","1",11,0.025,0.36,0.86,27,18,12,"A",0.1,TRUE
"28","1",12,0.063,0.5,0.86,29,29,20,"A",0.1,TRUE
"29","1",16,0.019,0.35,0.36,26,29,27,"A",0,TRUE
"30","1",18,0.51,0.029,0.68,16,14,11,"A",0.95,TRUE
"31","1",20,0.38,0.55,0.67,19,22,11,"A",0.05,TRUE
"32","1",23,0.68,0.27,0.14,14,22,21,"A",0.35,TRUE
"33","1",28,0.44,0.86,0.6,28,13,14,"A",0.1,TRUE
"34","1",29,0.23,0.43,0.36,26,14,20,"A",0.2,TRUE
