"attributeA_option1","attributeA_option2","attributeA_option3","attributeB_option1","attributeB_option2","attributeB_option3","ppntid","Aweight","Bweight","toleranceA","toleranceB","calcsd","orderr","value1","value2","value3","rowname","choice","oraclechoice"
4.14791283896193,8.86663298588246,6.86163943028077,4.51255832565948,5.51868633134291,3.97990997415036,0,1,2.92900152504444,3,3,0.5,0.1,17.3652030566705,25.0308736666277,18.5188018141068,1,2,2
4.14791283896193,8.86663298588246,6.86163943028077,4.51255832565948,5.51868633134291,3.97990997415036,1,1,0.0447289785370231,3,3,0.5,0.1,4.34975496345742,9.11347818834966,7.03965673809383,2,2,2
4.14791283896193,8.86663298588246,6.86163943028077,4.51255832565948,5.51868633134291,3.97990997415036,2,1,1.46869805990718,3,3,0.5,0.1,10.775498497076,16.9719168939621,12.7069254879207,3,2,2
4.14791283896193,8.86663298588246,6.86163943028077,4.51255832565948,5.51868633134291,3.97990997415036,3,1,1.38687478960492,3,3,0.5,0.1,10.4062662174408,16.5203599305592,12.3812762383271,4,2,2
4.14791283896193,8.86663298588246,6.86163943028077,4.51255832565948,5.51868633134291,3.97990997415036,4,1,4.06787107465789,3,3,0.5,0.1,22.5044183246188,31.3159374832621,23.0514000938694,5,2,2
4.14791283896193,8.86663298588246,6.86163943028077,4.51255832565948,5.51868633134291,3.97990997415036,5,1,1.30213885684498,3,3,0.5,0.1,10.0238903785825,16.0527288966633,12.0440348543668,6,2,2
4.14791283896193,8.86663298588246,6.86163943028077,4.51255832565948,5.51868633134291,3.97990997415036,6,1,3.62202946329489,3,3,0.5,0.1,20.4925320493373,28.8554774766893,21.2769906179146,7,2,2
4.14791283896193,8.86663298588246,6.86163943028077,4.51255832565948,5.51868633134291,3.97990997415036,7,1,4.53046075650491,3,3,0.5,0.1,24.5918812448017,33.8688248374915,24.8924653825914,8,2,2
4.14791283896193,8.86663298588246,6.86163943028077,4.51255832565948,5.51868633134291,3.97990997415036,8,1,4.74520110525191,3,3,0.5,0.1,25.560909593395,35.0539094649094,25.7471126384222,9,2,2
4.14791283896193,8.86663298588246,6.86163943028077,4.51255832565948,5.51868633134291,3.97990997415036,9,1,0.365722347050905,3,3,0.5,0.1,5.79825626102622,10.8849399036189,8.31718144707835,10,2,2
9.16471068747342,1.31243273150176,6.55021251412109,2.39891033153981,3.39396849274635,7.29783728485927,0,1,2.92900152504444,3,3,0.5,0.1,16.1911227069984,11.2533716227086,27.9255890510001,11,3,3
9.16471068747342,1.31243273150176,6.55021251412109,2.39891033153981,3.39396849274635,7.29783728485927,1,1,0.0447289785370231,3,3,0.5,0.1,9.2720114962051,1.46424147536914,6.87663732140224,12,1,1
9.16471068747342,1.31243273150176,6.55021251412109,2.39891033153981,3.39396849274635,7.29783728485927,2,1,1.46869805990718,3,3,0.5,0.1,12.6879856372972,6.29714767218443,17.2685319759122,13,3,3
9.16471068747342,1.31243273150176,6.55021251412109,2.39891033153981,3.39396849274635,7.29783728485927,3,1,1.38687478960492,3,3,0.5,0.1,12.4916989488088,6.01944207080507,16.6713990631312,14,3,3
9.16471068747342,1.31243273150176,6.55021251412109,2.39891033153981,3.39396849274635,7.29783728485927,4,1,4.06787107465789,3,3,0.5,0.1,18.9231686358422,15.1186589914449,36.23687371276,15,3,3
9.16471068747342,1.31243273150176,6.55021251412109,2.39891033153981,3.39396849274635,7.29783728485927,5,1,1.30213885684498,3,3,0.5,0.1,12.2884250442583,5.73185098481436,16.0530100136684,16,3,3
9.16471068747342,1.31243273150176,6.55021251412109,2.39891033153981,3.39396849274635,7.29783728485927,6,1,3.62202946329489,3,3,0.5,0.1,17.8536345881131,13.6054866097236,32.9831941782134,17,3,3
9.16471068747342,1.31243273150176,6.55021251412109,2.39891033153981,3.39396849274635,7.29783728485927,7,1,4.53046075650491,3,3,0.5,0.1,20.0328798028887,16.6886737967032,39.6127779405343,18,3,3
9.16471068747342,1.31243273150176,6.55021251412109,2.39891033153981,3.39396849274635,7.29783728485927,8,1,4.74520110525191,3,3,0.5,0.1,20.5480226440963,17.4174957744719,41.1799180641839,19,3,3
9.16471068747342,1.31243273150176,6.55021251412109,2.39891033153981,3.39396849274635,7.29783728485927,9,1,0.365722347050905,3,3,0.5,0.1,10.0420458042888,2.55368285448578,9.21919469433542,20,1,1
2.49601002549753,5.70787040283903,4.80780481128022,1.50011758552864,0.787770461756736,5.63100088387728,0,1,2.92900152504444,3,3,0.5,0.1,6.8898567212569,8.01525128670948,21.3010149876834,21,3,3
2.49601002549753,5.70787040283903,4.80780481128022,1.50011758552864,0.787770461756736,5.63100088387728,1,1,0.0447289785370231,3,3,0.5,0.1,2.56310875278365,5.74310657091505,5.05967372895713,22,2,2
2.49601002549753,5.70787040283903,4.80780481128022,1.50011758552864,0.787770461756736,5.63100088387728,2,1,1.46869805990718,3,3,0.5,0.1,4.69922981299609,6.86486735167334,13.0780448847664,23,3,3
2.49601002549753,5.70787040283903,4.80780481128022,1.50011758552864,0.787770461756736,5.63100088387728,3,1,1.38687478960492,3,3,0.5,0.1,4.5764852863102,6.80040939624488,12.6172979773726,24,3,3
2.49601002549753,5.70787040283903,4.80780481128022,1.50011758552864,0.787770461756736,5.63100088387728,4,1,4.06787107465789,3,3,0.5,0.1,8.59829496025512,8.91241907768915,27.7139904281776,25,3,3
2.49601002549753,5.70787040283903,4.80780481128022,1.50011758552864,0.787770461756736,5.63100088387728,5,1,1.30213885684498,3,3,0.5,0.1,4.44937142345084,6.73365693136719,12.1401498651052,26,3,3
2.49601002549753,5.70787040283903,4.80780481128022,1.50011758552864,0.787770461756736,5.63100088387728,6,1,3.62202946329489,3,3,0.5,0.1,7.92948011868906,8.56119822563535,25.2034559205233,27,3,3
2.49601002549753,5.70787040283903,4.80780481128022,1.50011758552864,0.787770461756736,5.63100088387728,7,1,4.53046075650491,3,3,0.5,0.1,9.29223387687793,9.27683356496168,30.3188333355307,28,3,3
2.49601002549753,5.70787040283903,4.80780481128022,1.50011758552864,0.787770461756736,5.63100088387728,8,1,4.74520110525191,3,3,0.5,0.1,9.61436965035586,9.4459996686519,31.5280364291291,29,3,3
2.49601002549753,5.70787040283903,4.80780481128022,1.50011758552864,0.787770461756736,5.63100088387728,9,1,0.365722347050905,3,3,0.5,0.1,3.0446365497294,5.99597566505008,6.86718767077754,30,3,3
1.48973194649443,8.69401588337496,9.43036674754694,9.2354718176648,6.3938183686696,4.72381592262536,0,1,2.92900152504444,3,3,0.5,0.1,28.5404429849396,27.4215196360654,23.2664307889458,31,2,1
1.48973194649443,8.69401588337496,9.43036674754694,9.2354718176648,6.3938183686696,4.72381592262536,1,1,0.0447289785370231,3,3,0.5,0.1,1.90282516720604,8.98000484795681,9.6416582085629,32,3,3
1.48973194649443,8.69401588337496,9.43036674754694,9.2354718176648,6.3938183686696,4.72381592262536,2,1,1.46869805990718,3,3,0.5,0.1,15.0538514874262,18.0846045168389,16.3682260284655,33,2,2
1.48973194649443,8.69401588337496,9.43036674754694,9.2354718176648,6.3938183686696,4.72381592262536,3,1,1.38687478960492,3,3,0.5,0.1,14.2981749805204,17.5614413881957,15.9817079613703,34,2,2
1.48973194649443,8.69401588337496,9.43036674754694,9.2354718176648,6.3938183686696,4.72381592262536,4,1,4.06787107465789,3,3,0.5,0.1,39.0584406143912,34.7032446819023,28.646240901203,35,1,1
1.48973194649443,8.69401588337496,9.43036674754694,9.2354718176648,6.3938183686696,4.72381592262536,5,1,1.30213885684498,3,3,0.5,0.1,13.5155986615725,17.0196552248288,15.5814310129804,36,2,2
1.48973194649443,8.69401588337496,9.43036674754694,9.2354718176648,6.3938183686696,4.72381592262536,6,1,3.62202946329489,3,3,0.5,0.1,34.940882977506,31.8526143976523,26.5401671984776,37,1,1
1.48973194649443,8.69401588337496,9.43036674754694,9.2354718176648,6.3938183686696,4.72381592262536,7,1,4.53046075650491,3,3,0.5,0.1,43.3306745842319,37.6609590868528,30.8314294059542,38,1,1
1.48973194649443,8.69401588337496,9.43036674754694,9.2354718176648,6.3938183686696,4.72381592262536,8,1,4.74520110525191,3,3,0.5,0.1,45.3139030232003,39.0339698731659,31.8458232845954,39,1,1
