"","attributeA_option1","attributeA_option2","attributeA_option3","attributeB_option1","attributeB_option2","attributeB_option3","ppntid","Aweight","Bweight","toleranceA","toleranceB","calcsd","orderr","value1","value2","value3","choice","oraclechoice"
"1",3.44733079895377,7.7077340404503,9.79625159176067,8.48892743932083,5.46544744865969,6.53410605853423,0,0.216754862863576,1.34370862619937,3,3,3,0.1,12.1538707419686,9.0146577177301,10.9033198457032,1,1
"2",3.44733079895377,7.7077340404503,9.79625159176067,8.48892743932083,5.46544744865969,6.53410605853423,1,-0.542492572263425,0.181535384597938,3,3,3,0.1,-0.32911064504626,-3.18921636133399,-4.12822226821419,1,1
"3",3.44733079895377,7.7077340404503,9.79625159176067,8.48892743932083,5.46544744865969,6.53410605853423,2,0.891144645072327,1.29251233641714,3,3,3,0.1,14.0441138195527,13.9328641672212,17.1752898358923,3,3
"4",3.44733079895377,7.7077340404503,9.79625159176067,8.48892743932083,5.46544744865969,6.53410605853423,3,0.595980577187475,-1.68804857586479,3,3,3,0.1,-12.2751796752485,-4.63228099993874,-5.191512748727,3,2
"5",3.44733079895377,7.7077340404503,9.79625159176067,8.48892743932083,5.46544744865969,6.53410605853423,4,1.63561800111297,-0.820993577630954,3,3,3,0.1,-1.33083859809763,8.11981129012266,10.6584663372992,2,3
"6",3.44733079895377,7.7077340404503,9.79625159176067,8.48892743932083,5.46544744865969,6.53410605853423,5,0.689275441919723,-0.862146144099767,3,3,3,0.1,-4.94253559946083,0.600737343289214,1.1189613015634,1,3
"7",3.44733079895377,7.7077340404503,9.79625159176067,8.48892743932083,5.46544744865969,6.53410605853423,6,-1.28124663010116,0.0988436891379549,3,3,3,0.1,-3.57780406407656,-9.33528327642778,-11.9055591915223,1,1
"8",3.44733079895377,7.7077340404503,9.79625159176067,8.48892743932083,5.46544744865969,6.53410605853423,7,-0.213144519278363,-0.375655144198359,3,3,3,0.1,-3.92368892724397,-3.69598471621206,-4.54258788988177,2,2
"9",3.44733079895377,7.7077340404503,9.79625159176067,8.48892743932083,5.46544744865969,6.53410605853423,8,1.89653987190927,0.723904155284259,3,3,3,0.1,12.6831701591076,18.5744850483589,23.3090482658698,3,3
"10",3.44733079895377,7.7077340404503,9.79625159176067,8.48892743932083,5.46544744865969,6.53410605853423,9,1.77686321368272,-1.79738201857254,3,3,3,0.1,-9.13241025434585,3.87209210965217,5.66231434832503,2,3
"11",3.44733079895377,7.7077340404503,9.79625159176067,8.48892743932083,5.46544744865969,6.53410605853423,10,0.566604498180317,-0.663743141576223,3,3,3,0.1,-3.68119422978466,0.739583518403554,1.21363213451393,2,3
"12",3.44733079895377,7.7077340404503,9.79625159176067,8.48892743932083,5.46544744865969,6.53410605853423,11,0.01571945400457,-0.62372648872918,3,3,3,0.1,-5.24057874687168,-3.28778297575805,-3.92150330255974,2,2
